,0
1719,BOULEVARD
1720,BITES
1721,BITES
1722,I
1723,BITES
1724,II
1725,BJS
1726,PIZZA
1727,&
1728,GRILL
1729,BJS
1730,RESTAURANT
1731,AND
1732,BREW
1733,HOU
1734,BKK101
1735,THAI
1736,CUISINE
1737,BKK101
1738,THAI
1739,CUISINE
1740,BKK101
1741,THAI
1742,CUISINE
1743,BLACK
1744,BLACK
1745,LIGHT
1746,BLACK
1747,ROSE
1748,TAVERN/
1749,THE
1750,JOINT
1751,BLACK
1752,ROSE
1753,TAVERN/
1754,THE
1755,JOINT
1756,BLACK
